年,月,気温,ようかん,まんじゅう,他の和生菓子,カステラ,ケーキ,ゼリー,プリン,他の洋生菓子,せんべい,ビスケット,スナック菓子,キャンデー,チョコレート,チョコレート菓子,アイスクリーム,他の菓子
2010,1,11.0,1.7741935483870968,5.290322580645161,24.258064516129032,2.6451612903225805,19.677419354838708,1.8064516129032258,4.032258064516129,18.838709677419356,14.483870967741936,7.387096774193548,10.32258064516129,6.612903225806452,14.709677419354838,3.2903225806451615,11.67741935483871,59.54838709677419
2010,2,9.9,1.3571428571428572,4.357142857142857,23.321428571428573,2.25,19.464285714285715,2.4642857142857144,4.392857142857143,18.285714285714285,14.678571428571429,8.535714285714286,11.321428571428571,6.821428571428571,40.07142857142857,3.6785714285714284,10.892857142857142,56.17857142857143
2010,3,13.2,1.1290322580645162,4.967741935483871,32.58064516129032,2.774193548387097,21.193548387096776,3.161290322580645,4.451612903225806,20.838709677419356,16.419354838709676,12.774193548387096,11.741935483870968,6.903225806451613,13.193548387096774,3.5806451612903225,12.35483870967742,63.83870967741935
2010,4,16.6,1.2333333333333334,4.633333333333334,27.6,2.7,17.4,4.233333333333333,4.4,18.533333333333335,15.533333333333333,8.7,11.933333333333334,6.633333333333334,9.566666666666666,3.3666666666666667,15.466666666666667,54.7
2010,5,23.0,2.032258064516129,5.290322580645161,30.612903225806452,2.903225806451613,17.774193548387096,5.870967741935484,4.483870967741935,18.967741935483872,14.387096774193548,8.741935483870968,11.612903225806452,6.290322580645161,7.516129032258065,2.6774193548387095,24.258064516129032,53.61290322580645
2010,6,27.5,2.1333333333333333,4.0,21.366666666666667,2.1666666666666665,14.633333333333333,8.9,4.566666666666666,15.633333333333333,12.933333333333334,8.566666666666666,10.833333333333334,5.5,7.333333333333333,2.3333333333333335,28.033333333333335,48.36666666666667
2010,7,31.6,3.4516129032258065,3.5483870967741935,20.580645161290324,2.064516129032258,13.387096774193548,11.870967741935484,4.129032258064516,16.193548387096776,12.935483870967742,8.35483870967742,10.193548387096774,5.258064516129032,4.806451612903226,2.2580645161290325,39.064516129032256,48.70967741935484
2010,8,33.5,4.225806451612903,5.161290322580645,26.870967741935484,2.193548387096774,14.903225806451612,12.064516129032258,4.290322580645161,18.225806451612904,14.096774193548388,8.451612903225806,10.387096774193548,5.225806451612903,4.32258064516129,2.129032258064516,46.806451612903224,64.09677419354838
2010,9,29.0,1.3333333333333333,4.666666666666667,24.266666666666666,1.9666666666666666,14.9,4.8,4.166666666666667,15.366666666666667,12.4,7.533333333333333,10.566666666666666,5.4,6.966666666666667,2.566666666666667,28.8,47.833333333333336
2010,10,21.8,1.3548387096774193,4.290322580645161,22.516129032258064,2.032258064516129,16.387096774193548,3.4193548387096775,4.32258064516129,17.903225806451612,12.516129032258064,8.096774193548388,10.870967741935484,6.354838709677419,10.290322580645162,3.6129032258064515,16.258064516129032,52.45161290322581
2010,11,17.2,1.6333333333333333,5.166666666666667,22.7,2.566666666666667,18.866666666666667,2.6,3.9,19.0,13.566666666666666,8.533333333333333,10.866666666666667,7.266666666666667,11.766666666666667,3.8666666666666667,11.7,52.666666666666664
2010,12,13.7,3.161290322580645,4.419354838709677,29.483870967741936,3.3870967741935485,43.096774193548384,2.5483870967741935,4.32258064516129,24.06451612903226,18.516129032258064,10.612903225806452,12.483870967741936,7.032258064516129,13.935483870967742,4.290322580645161,13.64516129032258,76.2258064516129
2011,1,9.1,1.4193548387096775,3.870967741935484,21.93548387096774,2.3870967741935485,17.93548387096774,2.3548387096774195,3.903225806451613,19.258064516129032,13.129032258064516,7.709677419354839,10.548387096774194,6.290322580645161,14.741935483870968,3.4516129032258065,11.161290322580646,55.96774193548387
2011,2,11.2,1.25,3.5,22.714285714285715,2.4642857142857144,18.0,3.0,4.214285714285714,18.5,13.5,8.214285714285714,11.392857142857142,6.535714285714286,39.964285714285715,4.428571428571429,10.321428571428571,55.285714285714285
2011,3,12.3,0.9032258064516129,3.7096774193548385,27.870967741935484,2.870967741935484,19.225806451612904,3.967741935483871,3.870967741935484,19.451612903225808,15.774193548387096,11.32258064516129,13.096774193548388,7.0,12.806451612903226,4.32258064516129,10.612903225806452,57.193548387096776
2011,4,18.9,1.1333333333333333,4.933333333333334,28.933333333333334,2.7333333333333334,17.233333333333334,5.1,4.066666666666666,19.066666666666666,15.366666666666667,8.466666666666667,12.1,6.333333333333333,9.633333333333333,3.433333333333333,15.4,53.43333333333333
2011,5,22.2,1.8709677419354838,4.709677419354839,28.677419354838708,3.064516129032258,16.516129032258064,6.32258064516129,4.419354838709677,19.129032258064516,15.064516129032258,8.580645161290322,11.516129032258064,5.935483870967742,8.483870967741936,2.774193548387097,21.677419354838708,53.16129032258065
2011,6,26.0,2.7333333333333334,3.2,19.9,1.8666666666666667,14.066666666666666,8.0,4.533333333333333,16.166666666666668,13.033333333333333,7.933333333333334,10.7,5.4,6.466666666666667,2.6,26.366666666666667,45.833333333333336
2011,7,30.9,3.161290322580645,2.967741935483871,20.580645161290324,1.7419354838709677,12.387096774193548,12.903225806451612,3.967741935483871,15.838709677419354,11.96774193548387,6.967741935483871,10.387096774193548,5.064516129032258,5.161290322580645,1.8709677419354838,40.806451612903224,48.54838709677419
2011,8,31.2,4.129032258064516,4.451612903225806,25.70967741935484,2.193548387096774,14.064516129032258,10.870967741935484,4.516129032258065,16.548387096774192,15.064516129032258,9.806451612903226,10.548387096774194,4.935483870967742,5.032258064516129,2.161290322580645,40.03225806451613,63.806451612903224
