日時,神戸,屋久島
2018年1月,44 ,269 
2018年2月,36 ,268 
2018年3月,129 ,237 
2018年4月,137 ,274 
2018年5月,241 ,525 
2018年6月,216 ,1080 
2018年7月,532 ,384 
2018年8月,136 ,215 
2018年9月,465 ,707 
2018年10月,47 ,165 
2018年11月,12 ,216 
2018年12月,46 ,208 
